name	interpretation
\esttmp	alternative estimate notation (·̂*)
\esttmpl	alternative estimate of lambda
\cR	range / codomain symbol ℛ
\range	range / codomain (alias for \cR)
\Range	range / codomain (alias for \cR)
\rangef	range of a function ℛ(·)
\~	approximately equal (≈)
\dapp	approximately equal dot notation (≐)
\deriv	partial derivative operator ∂/∂(·)
\dderiv	second partial derivative ∂²/∂(·)²
\derivf	partial derivative ∂f/∂x with numerator
\derivff	partial derivative ∂f/∂x (reversed argument order)
\derivfnd	alias for \derivf (numerator first, denominator second)
\derivfdn	alias for \derivff (denominator first, numerator second)
\dderivf	second partial derivative ∂²f/∂x²
\xderiv	cross partial derivative ∂²/∂x∂y
\xderivf	cross partial ∂²f/∂x∂y with numerator
\xderivff	cross partial (reversed argument order)
\dif	total derivative fraction dF/dt (numerator first, denominator second)
\red	typeset argument in red
\green	typeset argument in green
\blue	typeset argument in blue
\cyan	typeset argument in cyan
\magenta	typeset argument in magenta
\yellow	typeset argument in yellow
\black	typeset argument in black
\gray	typeset argument in gray
\white	typeset argument in white
\darkgray	typeset argument in dark gray
\lightgray	typeset argument in light gray
\brown	typeset argument in brown
\lime	typeset argument in lime green
\olive	typeset argument in olive
\orange	typeset argument in orange
\pink	typeset argument in pink
\purple	typeset argument in purple
\teal	typeset argument in teal
\violet	typeset argument in violet
\hE	estimated expected value Ê[·]
\hExp	estimated expected value (alias for \hE)
\hExpf	estimated expected value (alias for \hE)
\hmu	estimated mean μ̂
\hmuf	estimated mean function μ̂(·)
\Expp	expectation operator E (no argument)
\Ep	expectation operator (alias for \Expp)
\expit	expit / logistic function
\expitf	expit applied to argument
\dexpitf	derivative of expit function
\logit	logit function
\logitf	logit applied to argument
\E	expected value E[·]
\Ef	expected value (alias for \E)
\Exp	expected value (alias for \E)
\Expf	expected value (alias for \E)
\Expfc	conditional expected value E_c[·]
\evalAt	evaluate expression at a given point
\Varr	variance operator symbol Var
\Vart	variance operator symbol (alias for \Varr)
\hvar	estimated variance operator (hat)
\hvart	estimated variance operator (alias for \hvar)
\Covt	covariance operator symbol Cov
\hcovt	estimated covariance operator
\hCovt	estimated covariance operator (alias)
\var	variance function Var(·)
\varf	variance function (alias for \var)
\Var	variance function (alias for \var)
\hVar	estimated variance function V̂ar(·)
\Varf	variance function (alias for \var)
\hvarf	estimated variance function (alias for \hVar)
\Cov	covariance function Cov(·)
\Covs	bivariate covariance Cov(·,·)
\Covf	covariance function (alias for \Cov)
\covh	estimated covariance function Ĉov(·)
\covhf	estimated covariance function (alias)
\hcovf	estimated covariance function (alias)
\Cort	correlation operator symbol Cor
\hcort	estimated correlation operator
\Cor	correlation function Cor(·)
\Corf	correlation function (alias for \Cor)
\Cors	bivariate correlation Cor(·,·)
\hCor	estimated correlation function Ĉor(·)
\hCorf	estimated correlation function (alias)
\hCors	estimated bivariate correlation
\med	median operator symbol
\medf	median function med(·)
\IQR	interquartile range operator symbol
\IQRf	interquartile range function IQR(·)
\varht	estimated variance operator (hat, alias)
\varh	estimated variance function (alias)
\varhf	estimated variance function (alias)
\vc	bold vector notation for argument
\sd	standard deviation function sd(·)
\SD	standard deviation function SD(·)
\hSD	estimated standard deviation SD̂(·)
\hSDf	estimated standard deviation (alias)
\se	standard error function se(·)
\hset	estimated standard error operator ŝe
\hSE	estimated standard error operator ŜE
\hSEt	estimated SE operator (alias for \hSE)
\sef	standard error function (alias for \se)
\hse	estimated standard error ŝe(·)
\hsef	estimated standard error (alias for \hse)
\SE	standard error function SE(·)
\SEf	standard error function (alias for \SE)
\SDf	standard deviation function (alias for \SD)
\HSE	estimated standard error function (alias)
\hSEf	estimated standard error function (alias)
\logt	log operator symbol
\logf	log{·} function applied to argument
\dlog	derivative of log (log′)
\dlogf	derivative of log applied to argument
\exp	exponential function exp{·}
\expt	exp operator symbol
\expf	exponential function (alias for \exp)
\expfn	exponential function (alias for \exp)
\dexp	derivative of exponential (exp′)
\dexpf	derivative of exp applied to argument
\e	e^(·) exponential notation
\ef	e^(·) exponential notation (alias for \e)
\inv	multiplicative inverse (·)^{−1} with parentheses
\invf	multiplicative inverse (alias for \inv)
\invp	multiplicative inverse (alias for \inv)
\invcb	inverse with curly braces {·}^{−1}
\invsb	inverse with square brackets [·]^{−1}
\oinf	observed information symbol I
\oinfm	observed information matrix symbol
\Nat	natural numbers set ℕ (blackboard-bold)
\oinff	observed information function I(·)
\einf	expected (Fisher) information symbol ℐ
\EInf	expected information (alias for \einf)
\FInf	Fisher information (alias for \einf)
\einfm	expected information matrix symbol
\einff	expected information function ℐ(·)
\heinf	estimated Fisher information ℐ̂
\heinff	estimated Fisher information function ℐ̂(·)
\1	indicator function 1_{·} (upright subscript style)
\indic	indicator function 𝟙_{·} (blackboard bold)
\indicp	indicator function 𝟙(·) with parentheses
\indiccb	indicator function 𝟙{·} with curly braces
\indicf	indicator function (alias for \indic)
\set	set notation {·}
\pf	probability density/mass p(·)
\Pf	probability P(·)
\Bias	bias function Bias(·)
\bias	bias function (alias for \Bias)
\ss	variance σ²
\ssqf	σ²(·) variance as a function
\mselr	mean squared error function MSE(·)
\maelr	mean absolute error function MAE(·)
\abs	absolute value |·|
\norm	Euclidean norm ‖·‖
\normsq	squared norm ‖·‖²
\sqf	square of argument (·)²
\sq	square superscript ² (postfix)
\err	error term (alias for \eps)
\erf	error term function ε(·)
\vec	vector notation (tilde style)
\vecf	vector notation (alias for \vec)
\v	vector shorthand (alias for \vecf)
\matr	matrix notation (bold style)
\mX	design matrix X (bold)
\mx	design matrix x lowercase (bold)
\va	vector a (ã)
\vx	vector x (x̃)
\vxs	starred/reference vector x* (x̃*)
\diff	difference operator Δ
\diffvx	difference in x-vector Δx̃
\vxi	i-th observation vector x̃_i
\vX	random vector X (X̃)
\vy	outcome vector y (ỹ)
\vY	uppercase outcome vector Y (Ỹ)
\vz	vector z (z̃)
\vZ	random vector Z (Z̃)
\vD	exposure/treatment vector D (D̃)
\vd	exposure vector d lowercase (d̃)
\vT	time vector T (T̃)
\vt	time vector t lowercase (t̃)
\v1	vector of ones (1̃)
\vpi	vector of probabilities π (π̃)
\mat	matrix notation (alias for \matr)
\dsn	sequence x₁, …, xₙ
\X1n	sequence of random variables X₁, …, Xₙ
\Xin	sequence Xᵢ, i=1…n (alias for \X1n)
\x1n	sequence of observations x₁, …, xₙ
\y1n	sequence of outcomes y₁, …, yₙ
\'	transpose superscript ⊤
\pt	parenthesized transpose (x)′
\tp	transpose of argument x′
\dpr	dot product symbol (·)
\Xx1n	paired sequence X₁=x₁, …, Xₙ=xₙ
\dprod	dot product of two arguments a·b
\dprodf	dot product a·b (alias for \dprod)
\tprod	transpose-based product x′y
\tprodf	transpose-based product (alias for \tprod)
\iprod	inner product ⟨x, y⟩
\iprodf	inner product (alias for \iprod)
\oprod	outer product x y′
\stprod	self transpose-based product x′x
\siprod	self inner product ⟨x, x⟩
\soprod	self outer product x x′
\sdprod	self dot product x·x
\sdprodf	self dot product (alias for \sdprod)
\dsvn	paired sequence X₁=x₁, …, Xₙ=xₙ (alias)
\sumn	sum over index from 1 to n
\sumin	sum over i from 1 to n
\sumiN	sum over i from 1 to N
\sumip	sum over i from 1 to p
\sumjn	sum over j from 1 to n
\sumjp	sum over j from 1 to p
\sumi1n	sum over i from 1 to n (alias for \sumin)
\prodin	product over i from 1 to n
\prodi1n	product over i from 1 to n (alias)
\lp	linear predictor x′β
\lpdp	linear predictor at x (dot product x⃗·β⃗)
\lincomp	linear combination symbol η
\odds	odds symbol ω
\OR	odds ratio label OR
\ror	ratio of odds (odds ratio) θ
\logodds	log-odds symbol η
\logoddsf	log-odds function η(·)
\difflogodds	difference in log-odds Δη
\hdifflogodds	estimated difference in log-odds ΔΗ̂
\diffeta	difference in eta Δη (alias for \difflogodds)
\oddst	odds operator label
\probst	probs operator label
\probt	prob operator label
\riskt	risk operator label
\logoddst	log-odds text label
\prob	probability symbol π
\probs	probability symbol (alias for \prob)
\probit	probit link function
\oddsf	odds function odds{·}
\doddsf	derivative of odds function odds′{·}
\oddsinv	inverse odds operator
\invodds	inverse odds (alternative notation)
\oddsinvf	inverse odds function
\invoddsf	inverse odds function (alias)
\doddsinvf	derivative of inverse odds function
\dinvoddsf	derivative of inverse odds (alias)
\rate	rate / hazard symbol λ
\lograte	log-rate symbol η
\haz	hazard function symbol λ (alias for \rate)
\hazratio	hazard ratio symbol θ
\hr	hazard ratio (alias for \hazratio)
\hrf	hazard ratio function θ(·)
\loghaz	log-hazard symbol η
\diffloghaz	difference in log-hazard Δη
\cuhaz	cumulative hazard symbol Λ
\cumhaz	cumulative hazard (alias for \cuhaz)
\Surv	survival function (alias for \surv)
\incidence	incidence rate (average hazard)
\phaz	expected hazard E[λ] (Poisson hazard)
\idmat	identity matrix 𝕀
\and	set intersection (∩)
\reglincomb	regression linear combination x̃·β̃
\regbetasum	expanded regression sum β₁x₁+⋯+βₚxₚ
\pdf	probability density function symbol f
\pmf	probability mass function P(·)
\cdf	cumulative distribution function symbol F
\defLik	definitional expression for likelihood ℒ(θ)
\defLogLik	definitional expression for log-likelihood ℓ
\defScore	definitional expression for score function ℓ′
\defHess	definitional expression for Hessian matrix ℓ″
\thmHessij	formula for (i,j) element of the Hessian
\defOInf	definitional expression for observed information I
\defEInf	definitional expression for expected information ℐ
\thmADistMLE	asymptotic normal distribution of the MLE
\eqGLMRatio	GLM hazard or odds ratio expression
\defHR	definitional expression for hazard ratio
\kerngaus	Gaussian distribution kernel exponent
\likgaus	Gaussian likelihood expression
\llgaus	Gaussian log-likelihood expression
\scoreexpf	score function for exponential family
\llexpmean	log-likelihood expression for exponential mean model
\signt	sign operator symbol
\signf	sign function sign{·}
\reals	real numbers ℝ
\ub	underbrace shorthand (alias for \underbrace)
\ubf	underbrace with subscript label \underbrace{·}_{label}
